date,followers,difference
2018-05-23,9305526,18286
2018-05-25,9336979,31453
2018-05-26,9345295,8316
2018-05-27,9362695,17400
2018-05-28,9378058,15363
2018-05-29,9393346,15288
2018-05-30,9421636,28290
2018-05-31,9427690,6054
2018-06-01,9445327,17637
2018-06-02,9462724,17397
2018-06-03,9481120,18396
2018-06-04,9500871,19751
2018-06-05,9518499,17628
2018-06-06,9542600,24101
2018-06-07,9562660,20060
2018-06-08,9581424,18764
2018-06-09,9600491,19067
2018-06-10,9621001,20510
2018-06-11,9640504,19503
2018-06-12,9654184,13680
2018-06-13,9670007,15823
2018-06-14,9689565,19558
2018-06-15,9716849,27284
2018-06-16,9835610,118761
2018-06-17,9894885,59275
2018-06-18,9933926,39041
2018-06-19,9986639,52713
2018-06-20,10041648,55009
2018-06-21,10086467,44819
2018-06-22,10126932,40465
2018-06-23,10182041,55109
2018-06-24,10221341,39300
2018-06-25,10256678,35337
2018-06-26,10284471,27793
2018-06-27,10317485,33014
2018-06-28,10328000,10515
2018-06-29,10359573,31573
2018-06-30,10387000,27427
2018-07-01,10417408,30408
2018-07-02,10453485,36077
2018-07-03,10485305,31820
2018-07-04,10520146,34841
2018-07-05,10548019,27873
2018-07-06,10580226,32207
2018-07-07,10614045,33819
2018-07-08,10648801,34756
2018-07-09,10679573,30772
2018-07-10,10708609,29036
2018-07-11,10735283,26674
2018-07-15,10863585,128302
2018-07-16,10872933,9348
2018-07-17,10905225,32292
2018-07-18,10934525,29300
2018-07-20,10980642,46117
2018-07-21,11007075,26433
2018-07-22,11040353,33278
2018-07-23,11074789,34436
2018-07-24,11110838,36049
2018-07-25,11143144,32306
2018-07-26,11153476,10332
2018-07-27,11195855,42379
2018-07-28,11211874,16019
2018-07-29,11247736,35862
2018-07-30,11270921,23185
2018-07-31,11288437,17516
2018-08-01,11316963,28526
2018-08-02,11327806,10843
2018-08-03,11357787,29981
2018-08-04,11375454,17667
2018-08-05,11403005,27551
2018-08-06,11435304,32299
2018-08-07,11453203,17899
2018-08-08,11483936,30733
2018-08-09,11506118,22182
2018-08-10,11530831,24713
2018-08-11,11557928,27097
2018-08-12,11591495,33567
2018-08-13,11618175,26680
2018-08-14,11641189,23014
2018-08-15,11661277,20088
2018-08-16,11682778,21501
2018-08-17,11709689,26911
2018-08-18,11730024,20335
2018-08-19,11769371,39347
2018-08-20,11773961,4590
2018-08-26,11910413,136452
2018-08-27,11926452,16039
2018-08-28,11949896,23444
2018-08-30,11997489,47593
2018-09-01,12021582,24093
2018-09-04,12075225,53643
2018-09-08,12117554,42329
2018-09-10,12138237,20683
2018-09-12,12152461,14224
2018-09-14,12168957,16496
2018-09-16,12195432,26475
2018-09-18,12217754,22322
2018-09-20,12234002,16248
2018-09-21,12241691,7689
2018-09-23,12264870,23179
2018-09-24,12272452,7582
2018-09-25,12279617,7165
2018-09-26,12289375,9758
2018-10-06,12379769,90394
2018-10-17,12503165,123396
2018-10-18,12512403,9238
