date,likes,difference
2018-09-03,2282457,13684
2018-09-06,2289643,7186
2018-09-09,2301925,12282
2018-09-12,2308271,6346
2018-09-15,2318722,10451
2018-09-18,2329075,10353
2018-09-21,2337585,8510
2018-09-27,2356213,18628
2018-10-01,2369574,13361
2018-10-06,2383910,14336
2018-10-09,2392827,8917
2018-10-15,2410155,17328
2018-10-21,2429408,19253
2018-10-24,2439687,10279
2018-10-29,2462013,22326
2018-11-01,2490283,28270
2018-11-14,2550591,60308
2018-11-21,2593577,42986
2018-11-28,2639283,45706
2018-12-01,2654934,15651
2018-12-04,2669564,14630
2018-12-07,2681580,12016
2018-12-10,2695291,13711
2018-12-13,2706896,11605
2018-12-16,2719603,12707
2018-12-19,2729891,10288
2018-12-22,2741319,11428
2018-12-25,2751303,9984
2018-12-28,2762140,10837
2018-12-31,2772874,10734
2019-01-03,2791847,18973
2019-01-06,2808846,16999
2019-01-09,2819628,10782
2019-01-12,2836238,16610
2019-01-15,2860258,24020
2019-01-18,2880074,19816
2019-01-21,2897175,17101
2019-01-24,2910122,12947
2019-03-06,3123448,213326
2019-03-24,3187044,63596
2019-04-05,3421933,234889
2019-04-06,3458528,36595
2019-04-09,3512153,53625
2019-04-15,3663010,150857
2019-05-06,3885194,222184
2019-05-07,3896730,11536
2019-05-20,4022279,125549
2019-05-23,4039596,17317
2019-06-13,4172803,133207
2019-06-21,4211754,38951
2019-06-26,4234909,23155
2019-07-17,4322790,87881
2019-08-07,4414109,91319
2019-08-28,4501959,87850
2019-10-11,4629217,127258
2019-10-25,4660589,31372
2019-10-31,4675817,15228
2019-11-11,4708888,33071
2019-12-02,4761283,52395
2019-12-10,4779056,17773
2019-12-21,4802876,23820
2020-01-11,4856533,53657
2020-02-26,4968090,111557
2020-03-02,4980803,12713
2020-03-15,5012077,31274
2020-03-16,5013578,1501
2020-03-17,5016652,3074
2020-03-18,5020095,3443
2020-03-22,5032986,12891
2020-04-02,5099809,66823
2020-04-07,5118116,18307
2020-04-09,5126628,8512
2020-04-11,5134551,7923
2020-04-12,5138479,3928
2020-04-13,5143014,4535
2020-04-15,5149985,6971
2020-04-17,5164934,14949
2020-04-19,5182231,17297
2020-04-21,5194477,12246
2020-04-23,5202610,8133
2020-04-25,5212066,9456
2020-04-27,5219729,7663
2020-04-29,5226428,6699
2020-05-01,5233483,7055
2020-05-03,5242167,8684
2020-05-05,5254022,11855
2020-05-07,5263655,9633
2020-05-08,5269414,5759
2020-05-09,5271692,2278
2020-05-11,5279316,7624
2020-05-12,5285657,6341
2020-05-13,5287189,1532
2020-05-14,5291879,4690
2020-05-15,5294784,2905
2020-05-16,5298182,3398
2020-05-17,5302626,4444
2020-05-19,5312013,9387
2020-05-21,5320074,8061
2020-05-23,5327579,7505
2020-05-25,5335152,7573
2020-05-27,5342625,7473
2020-05-29,5358359,15734
2020-05-31,5369251,10892
2020-06-01,5377185,7934
2020-06-02,5380855,3670
2020-06-04,5389074,8219
2020-06-05,5393836,4762
2020-06-06,5396877,3041
2020-06-07,5400017,3140
2020-06-08,5404022,4005
2020-06-10,5414183,10161
2020-06-12,5426676,12493
2020-06-14,5439016,12340
2020-06-16,5548658,109642
2020-06-18,5661450,112792
2020-06-20,5728912,67462
2020-06-21,5742801,13889
2020-06-22,5769609,26808
2020-06-24,5796852,27243
2020-06-26,5836532,39680
2020-06-28,5930628,94096
2020-06-30,5987867,57239
2020-07-02,6038652,50785
2020-07-04,6074962,36310
2020-07-05,6095216,20254
2020-07-06,6117799,22583
2020-07-07,6145287,27488
2020-07-08,6166202,20915
2020-07-09,6184337,18135
2020-07-10,6212897,28560
2020-07-11,6218060,5163
2020-07-12,6235408,17348
2020-07-13,6248198,12790
2020-07-14,6263586,15388
2020-07-15,6278173,14587
2020-07-16,6292099,13926
2020-07-17,6305772,13673
2020-07-18,6320368,14596
2020-07-19,6334692,14324
2020-07-20,6349886,15194
2020-07-21,6363407,13521
2020-07-27,6444561,81154
2020-07-28,6483493,38932
2020-07-29,6485521,2028
2020-07-30,6499338,13817
2020-07-31,6511960,12622
